CODIGO;CODIGO_BARRA_PRODUTO;DESCRICAO_PRODUTO;PRECO_VENDA_PRODUTO
303;7890000003032;SAMPLE ROUND MINI    MINI - SS    260    cc;1
304;7890000003049;SAMPLE ROUND MINI    MINI - SS+    260    cc;1
305;7890000003056;SAMPLE ROUND MINI    MINI - SS    275    cc;1
306;7890000003063;SAMPLE ROUND MINI    MINI - SS+    275    cc;1
307;7890000003070;SAMPLE ROUND MINI    MINI - SS    290    cc;1
308;7890000003087;SAMPLE ROUND MINI    MINI - SS+    290    cc;1
309;7890000003094;SAMPLE ROUND MINI    MINI - SS    310    cc;1
310;7890000003100;SAMPLE ROUND MINI    MINI - SS+    310    cc;1
311;7890000003117;SAMPLE ROUND MINI    MINI - SS    360    cc;1
312;7890000003124;SAMPLE ROUND MINI    MINI - SS+    360    cc;1
313;7890000003131;SAMPLE ROUND MINI    MINI - SS    400    cc;1
314;7890000003148;SAMPLE ROUND MINI    MINI - SS+    400    cc;1
315;7890000003155;SAMPLE ROUND MINI    MINI - SS    430    cc;1
316;7890000003162;SAMPLE ROUND MINI    MINI - SS+    430    cc;1
317;7890000003179;SAMPLE ROUND MINI    MINI - SS    475    cc;1
318;7890000003186;SAMPLE ROUND MINI    MINI - SS+    475    cc;1
319;7890000003193;SAMPLE ROUND MINI    MINI - SS    525    cc;1
320;7890000003209;SAMPLE ROUND MINI    MINI - SS+    525    cc;1
321;7890000003216;SIZER CORSE    CORSE    1050    cc;1
322;7890000003223;SIZER CORSE    CORSE    180    cc;1
323;7890000003230;SIZER CORSE    CORSE    210    cc;1
324;7890000003247;SIZER CORSE    CORSE    240    cc;1
325;7890000003254;SIZER CORSE    CORSE    260    cc;1
326;7890000003261;SIZER CORSE    CORSE    280    cc;1
327;7890000003278;SIZER CORSE    CORSE    300    cc;1
328;7890000003285;SIZER CORSE    CORSE    325    cc;1
329;7890000003292;SIZER CORSE    CORSE    350    cc;1
330;7890000003308;SIZER CORSE    CORSE    380    cc;1
331;7890000003315;SIZER CORSE    CORSE    410    cc;1
332;7890000003322;SIZER CORSE    CORSE    440    cc;1
333;7890000003339;SIZER CORSE    CORSE    475    cc;1
334;7890000003346;SIZER CORSE    CORSE    510    cc;1
335;7890000003353;SIZER CORSE    CORSE    550    cc;1
336;7890000003360;SIZER CORSE    CORSE    590    cc;1
337;7890000003377;SIZER CORSE    CORSE    650    cc;1
338;7890000003384;SIZER CORSE    CORSE    725    cc;1
339;7890000003391;SIZER CORSE    CORSE    825    cc;1
340;7890000003407;SIZER CORSE    CORSE    925    cc;1
341;7890000003414;SIZER DEMI    DEMI    135    cc;1
342;7890000003421;SIZER DEMI    DEMI    155    cc;1
343;7890000003438;SIZER DEMI    DEMI    180    cc;1
344;7890000003445;SIZER DEMI    DEMI    190    cc;1
345;7890000003452;SIZER DEMI    DEMI    205    cc;1
346;7890000003469;SIZER DEMI    DEMI    215    cc;1
347;7890000003476;SIZER DEMI    DEMI    230    cc;1
348;7890000003483;SIZER DEMI    DEMI    245    cc;1
349;7890000003490;SIZER DEMI    DEMI    265    cc;1
350;7890000003506;SIZER DEMI    DEMI    285    cc;1
351;7890000003513;SIZER DEMI    DEMI    300    cc;1
352;7890000003520;SIZER DEMI    DEMI    320    cc;1
353;7890000003537;SIZER DEMI    DEMI    340    cc;1
354;7890000003544;SIZER DEMI    DEMI    360    cc;1
355;7890000003551;SIZER DEMI    DEMI    380    cc;1
356;7890000003568;SIZER DEMI    DEMI    425    cc;1
357;7890000003575;SIZER DEMI    DEMI    475    cc;1
358;7890000003582;SIZER DEMI    DEMI    525    cc;1
359;7890000003599;SIZER DEMI    DEMI    575    cc;1
360;7890000003605;SIZER DEMI    DEMI    625    cc;1
361;7890000003612;SIZER FULL    FULL    145    cc;1
362;7890000003629;SIZER FULL    FULL    175    cc;1
363;7890000003636;SIZER FULL    FULL    205    cc;1
364;7890000003643;SIZER FULL    FULL    220    cc;1
365;7890000003650;SIZER FULL    FULL    235    cc;1
366;7890000003667;SIZER FULL    FULL    255    cc;1
367;7890000003674;SIZER FULL    FULL    275    cc;1
368;7890000003681;SIZER FULL    FULL    295    cc;1
369;7890000003698;SIZER FULL    FULL    315    cc;1
370;7890000003704;SIZER FULL    FULL    335    cc;1
371;7890000003711;SIZER FULL    FULL    355    cc;1
372;7890000003728;SIZER FULL    FULL    375    cc;1
373;7890000003735;SIZER FULL    FULL    400    cc;1
374;7890000003742;SIZER FULL    FULL    425    cc;1
375;7890000003759;SIZER FULL    FULL    450    cc;1
376;7890000003766;SIZER FULL    FULL    500    cc;1
377;7890000003773;SIZER FULL    FULL    550    cc;1
378;7890000003780;SIZER FULL    FULL    625    cc;1
379;7890000003797;SIZER FULL    FULL    700    cc;1
380;7890000003803;SIZER FULL    FULL    775    cc;1
381;7890000003810;SIZER MINI    MINI    105    cc;1
382;7890000003827;SIZER MINI    MINI    125    cc;1
